idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,YONI,MATOPIE (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,YONI,KULKOS (YONI MAMAILA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,YONI,BARRI-NIN (YONI MAMAILA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,SAMU,LUNSINEYA,MISLAYA (SAMU)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,SAMU,MAFUFUNEH,MAFUFUNEH (SAMU)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,SAMU,MANGE,MANGE SAMU (SAMU)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,SAMU,MANGE,MASORIE SAMU (SAMU)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAMBIA,MASAMA VILLAGE KAMBIA 2 (MAGBEMA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MALEMA,LOWER SAMIE,BAKAA (MALEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,ROKUPR,ROYANKA (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAMBIA,KAMBIA 2 OFF ANSUMANA STREET (MAGBEMA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BOMBALI SEBORA,KAGBARAN ROKON,MABUREH (BOMBALI SEBORA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,LUMLEY,GRASSFIELD (WEST III)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FUTHA SECTION,KOMRABAI N'FAH CONTEH (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,FUTHA SECTION,ROKON (KOYA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,BENKIA,KAGBUNKOH (KOYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MANDU,BONGRE,BAIIMA (MANDU)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,FORONKOYA,TINTAFOR (KAFFU BULLOM)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,DEA,SIENGA,TAKPOIMA (DEA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST I,ASCENSION TOWN,ASCENSION TOWN (WEST I)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MABROWN,MABROWN (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,NEWTON,MADONKEH (KOYA RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,ALLEN TOWN,"MAYEAMI, LOWER ALLEN TOWN (EAST III)"
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,NEW LONDON,WATERLOO (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,CAMPBELL TOWN,CAMPBELL TOWN (WATERLOO RURAL)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BIGO,YANGATOKE (IMPERRI)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,MOIMALIGIE,KEIGA (IMPERRI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MATEHUN,MATHEUN (N'GOWAHUN)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,BAMBAWO LANE (KENEMA CITY)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,MAHERA,MAHERA (KAFFU BULLOM)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,LUNGI,ROGBOM TARDI LUNGI (KAFFU BULLOM)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,KONTA KUNIKE (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,TWO HOUSE (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,BONGAY (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MABEKOH (KUNIKE SANDA)
