idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA,MAGBASS (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MAGBASS VILLAGE (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROCHAIN (KHOLIFA MAMUNTHA/MAYOSSO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MOKONGBETTY (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MONKONGBETTY (KAGBORO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROCHIN (KHOLIFA MAMUNTHA/MAYOSSO)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,MBAOMA II (KOIDU CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,DANSOGOIA,BUMBUNA,BUMBUNA (DANSOGOIA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,BAFINFEH,CONDAMA (NIMIYAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,KOMBOYA,MOYAMBA (KAIYAMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,BO ROAD,MAGBURAKA (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,GAINDEMA SECTION,MILE 91 (YONI MAMAILA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAGBAKAHUN,NGO TOWN (NIMIYAMA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,MASINGBI,MASINGBI (KUNIKE SANDA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAGBAKAHUN,NGO-TOWN (NIMIYAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,MENDEGELEMA,YOYEMA (KAIYAMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MATOTOKA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAKUMP,ROPOLON (KHOLIFA ROWALA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,KOVELLA,NJORPOWAHUN (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,KOVELLA,MONGERE (FAKUNYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,BENDUMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,YENGEMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,SAMBALU (LUAWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,MOGBUAMA,SENEHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGOLAHUN,NGOLAHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGOLAHUN,JOYAH (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,TAWOVEHUN,NGOLEHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,KEAPE,NGOLALA (UPPER BANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,BO ROAD,PUMP STATION - MAGBURAKA (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,BO ROAD,FERRY ROAD - MAGBURAKA (KHOLIFA ROWALA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,BUMPEH,MOGBAINCHAIN (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,BUMPEH,ROTIFUNK (BUMPEH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,KALMAROH CHAINDAREN (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,MARANDA (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,KUNIBAYA (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,NEREKORO (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,MAKELFA (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,YINAYA (SIMIRIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,KAMASONDO,KAMASONDO (BUYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,NDENDEMOYA,NDENDEMOYA (LOWER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KONGBORA,MOSONGILA LAWANA,GBONGEH (KONGBORA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KONGBORA,MASONVILLE  LAWANA,LAWANA (KONGBORA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,MOUNTAIN RURAL,HILL STATION,NAVO DRIVE (MOUNTAIN RURAL)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,BOMBEH,ROBOMBEH (BUYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,ROSINT,BUYA TOWN (BUYA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,LOWER THONGBAI (KHOLIFA MAMUNTHA/MAYOSSO)
EASTERN,KONO,KONO DISTRICT,KAMARA,DANGBOIDU,NUMBER ELEVEN (KAMARA)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BABOM,MORIBA TOWN (IMPERRI)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MAFORMBA (KHOLIFA MAMUNTHA/MAYOSSO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,YENKESSA,MOKOMBRABAI VILLAGE (BUMPEH)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,"HILL STATION, MOISIA STREET (KENEMA CITY)"
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,KAGBALA SECTION,MAKORBEH (KOYA RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,MASANKA (RIBBI)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,SWARRAY STREET (KENEMA CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,NEWTON,NEWTON (KOYA RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,NDENDEMOYA,MORIBA TOWN (LOWER BANTA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,KISSY (EAST III)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,GODERICH,GODERICH (YORK RURAL)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,GBARA SECTION,TEKO BARRACKS (MAKENI CITY)
NORTHERN,BOMBALI,MAKENI CITY,BOMBALI SEBORA,ROGBANEH,ROGBANEH ROAD (BOMBALI SEBORA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MAKAIHITEH,MAKAHITHE (N'GOWAHUN)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,FOURAH BAY,KRO JIMMY (EAST I)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KORI,MOHONGA,TAIAMA (KORI)
EASTERN,KENEMA,KENEMA DISTRICT,NIAWA,KAKPLAWO,BANDAWOR (NIAWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,MOUNTAIN RURAL,REGENT,REGENT (MOUNTAIN RURAL)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,MATONDOKOR  SECTION,MASORYA (KAMARANKA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,KOEYOR (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,BAIKELLEH,GONDAMA (UPPER BANTA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAAMBA,MASORIE (MAGBEMA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,LEBANON (KOIDU CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROGBONKOR (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MABORIE (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MASAGBLE (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MASAMPA (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MAKAPR (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROTHONGBAI (KHOLIFA MAMUNTHA/MAYOSSO)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,KOEYOR NEW SITE (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,TAMBA ABU STREET (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,KONO SPARK (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,ROKON (RIBBI)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,SUKUDU VILLAGE (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KOWA,NJAGBAHUN,MOFOMBO (KOWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,NEWTON,CATHOLIC FARM (KOYA RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MOTONI,MOKEBBIELOKO (RIBBI)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,TOMBO,KISSI TOWN/TOMBO (YORK RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST I,UP GUN,UP GUN (EAST I)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,BAIKELLEH,JENENGA (UPPER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,RIBBI,MASANKA,MABANG (RIBBI)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAFONDA,GBINTI (DIBIA)
EASTERN,KONO,KONO DISTRICT,FIAMA,FIAMA,NJAGBWEMA (FIAMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAAMBA,MASORIE KALANGBA ROAD (MAGBEMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,WUBANGA,MOKANJI (LOWER BANTA)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,SOWA,SABBA 1,BANDAJUMA (SOWA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MANEMPEH (KHOLIFA ROWALA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA LOKO,KAMALO,KAMALO (SANDA LOKO)
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA DOKUM,MAKENI CITY
NORTHERN,BOMBALI,MAKENI CITY,MAKENI CITY,KAGBARA ROKOM,CONGO TOWN (MAKENI CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,KAMARANKA SECTION,KAMARANKA
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,KIMBADU (KOIDU CITY)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAMBIA,ROMACCA (MAGBEMA)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KAMEINDOR,DENSAMBADU (MAFINDOR)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,SOMBO STREET,SOMBO STREET (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,COMBEMA ROAD (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,SHOW AVENUE,SHOW AVENUE (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,FAKOI,GANDORHUN (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,FAKOI,KWELLU (FAKUNYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,WORREH MAPOTEH,MANUMPTHANEH (BUYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,WORREH MAPOTEH,MAKONDAY (BUYA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,MANUMGBU,MASAMBOI (BUYA)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,YARDU ROAD (KOIDU CITY)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,KALANGBA,MASACTABA (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,MALONTHO (SANDA TENDARAN)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,MOGONGBAY,NGUALA BEAH (UPPER BANTA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,LOW COST SITE 2 (EAST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,SEMBEHUN,MOKAMALIPA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MOSELOLO,MOSELOLO (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,PALIMA,MOYASSA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,BENDUMA,NGIEBU (BAGRUWA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MANENTHELI (TANE)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MADINA,MADINA LOKO (N'GOWAHUN)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,GAINDEMA SECTION,MATHIBO (YONI MAMAILA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KAMABAI,KAMABAI (BIRIWA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,ROBAT,KATIMPE (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,ROBAT,BARMOI LUMA (MAGBEMA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,CALABA TOWN,PA MORLAI FEILD (EAST III)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,MASUMBIRIE (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAKELFA,MANSUMBIRIE (SIMIRIA)
SOUTHERN,BONTHE,BONTHE DISTRICT,IMPERRI,BABOM,MOGBWEMO (IMPERRI)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAIAFEH,JAIAMA SEWAFEH (NIMIYAMA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,TAAMA FOREST,YOMANJA (NIMIYAMA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,MAMA BEACH,MAMA BEACH (YORK RURAL)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,MADINA (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,ROGBOM-KASONGBO (SANDA TENDARAN)
NORTH WESTERN,KARENE,KARENE DISTRICT,SANDA TENDARAN,ROGBIN,MOLONTHO (SANDA TENDARAN)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,POLICE BARRACKS (KENEMA CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,SONGO,KONO TOWN (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,BRAMA,BRAMA TOWN (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MASORIE,MASORIE (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MAGBAFTI,ROGBERAY (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MAGBAFTI,MANALO (KOYA RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,MOGONGBAY,GBOYAMA (UPPER BANTA)
NORTH WESTERN,KARENE,KARENE DISTRICT,BUYA,ROSINT,KOMRABAI (BUYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NJAGBEMA,NJAGBEMA (KAMAJEI)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,ROKEL,ROKEL (WATERLOO RURAL)
EASTERN,KENEMA,KENEMA DISTRICT,NIAWA,TEYAMA,GORAHUN VAAMA (NIAWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,DEVIL HOLE,DEVIL HOLE (WATERLOO RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,DEVIL HOLE,SIMA TOWN (WATERLOO RURAL)
EASTERN,KENEMA,KENEMA DISTRICT,NIAWA,MABONDOR,GANDORHUN (NIAWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NGAGBAMA,MOBAIWA (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,YELIMA,YELEMA (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,KORWAMA,GONDAMA (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,MOGBUAMA,TENDIHUN (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,MOGBUAMA,MOGBUAMA (KAMAJEI)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAMAJEI,NJAGBEMA,KETUMA (KAMAJEI)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,MAGBAFTI,CROSSING VILLAGE (KOYA RURAL)
EASTERN,KONO,KONO DISTRICT,SOA,KOOKONGOKUMA,KAINKORDU (SOA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,MASINGBI,SANDATHANKA (KUNIKE SANDA)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,SEWAMA,MOTUO (KPANDA KEMO)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,GBONGE,NGIYEIBU (KPANDA KEMO)
EASTERN,KENEMA,KENEMA DISTRICT,TUNKIA,TANINAHUN,TANINAHUN (TUNKIA)
EASTERN,KENEMA,KENEMA DISTRICT,TUNKIA,KULAWUMA,YAYAHUN (TUNKIA)
EASTERN,KENEMA,KENEMA DISTRICT,TUNKIA,KULAWUMA,BELEBU (TUNKIA)
EASTERN,KENEMA,KENEMA DISTRICT,TUNKIA,TANINAHUN,NYAHUN (TUNKIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,MACROGBA,MAKUNDOR (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,MACROGBA,MACROGBA (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,RORUKS (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,RORUKS VILLAGE (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,BANKAFU (YONI MABANTA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MABANTA,PETIFU,MAFOKOYA (YONI MABANTA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,ADONKIA,ADONKIA (YORK RURAL)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,RED CROSS AVANUE (KOIDU CITY)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TONGI,TONGI TINGI,GBALAMA (KISSI TONGI)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TONGI,TONGI TINGI,BENDUMA (KISSI TONGI)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TONGI,TONGI TINGI,VOAHUN (KISSI TONGI)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TONGI,TONGI TINGI,MANDOPOLAHUN (KISSI TONGI)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TONGI,TONGI TINGI,MAKPADU (KISSI TONGI)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,ROKUPR,FONKOYA (MAGBEMA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA YAGALA,KAYAKOH SECTION,KAYOGOBAY (WARA WARA YAGALA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA BAFODIA,SEIMAMAYA,SEIMANAYA (WARA WARA BAFODIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,SIMRIA,MAKUMP (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAYASSO,KAYASSIE (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MAYASSO,MAYASSO (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MABONTOR,MAFORAKA (SIMIRIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,SIMIRIA,MABONTOR,MABONTOR (SIMIRIA)
SOUTHERN,BO,BO DISTRICT,KAKUA,NGUABU,NGANDORHUN (KAKUA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,KAMAKWIE,KAMAKWEI (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,KAMAKWIE II,KAMAKWIE (SELLA LIMBA)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MAGBONKONIE 2,KAKAMBA (SELLA LIMBA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,KISSI TOWN,KISSI TOWN (KOYA RURAL)
NORTH WESTERN,KARENE,KARENE DISTRICT,SELLA LIMBA,MANANKOH,KABOMBOH (SELLA LIMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,MABANKRAH (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,MABANKRA (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,MAYAMBA MABOMBOR (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,MAKONTEH (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,MAMANO (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,PETIFU MAYEPOH,PETIFU MAYAPOH (MAYEPPOH)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,MAYEPPOH,MAYEPOH,MABETY (MAYEPPOH)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,JOHN THORPE,ROKEL VILLAGE (WATERLOO RURAL)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,NDENDEMOYA,KPETEMA (LOWER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,BELLENTINE,BLLENTINE (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,BELLENTINE,MOSIMBARA (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,MOTORBONG,BUREH CHOKOR (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,KASSI POTO,BENGEH (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,KASSI POTO,SEWEIMA (BUMPEH)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,KASSI POTO,KASSIPOTO (BUMPEH)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KAMBIA,KAMBIA 1 (MAGBEMA)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KAMEINDOR,MAFINDOR
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,TEJAN STREET (KOIDU CITY)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,TANKORO,KANIA (KOIDU CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,MOFINDOH,MATAGELEMA (LOWER BANTA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,SONGO,MANJENDU (FAKUNYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,MOFINDOR (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,KAILAHUN (LUAWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,UPPER BANTA,MOGONGBAY,MOGONBAY (UPPER BANTA)
